rank,score,label
1,0.093017578125,0
2,0.093017578125,0
3,0.093017578125,0
4,0.093017578125,0
5,0.093017578125,0
6,0.093017578125,0
7,0.093017578125,0
8,0.093017578125,0
9,0.093017578125,0
10,0.09320068359375,0
11,0.09320068359375,0
12,0.09320068359375,0
13,0.09320068359375,0
14,0.09320068359375,0
15,0.09320068359375,0
16,0.09320068359375,0
17,0.09320068359375,0
18,0.09320068359375,0
19,0.09320068359375,0
20,0.09320068359375,0
21,0.09320068359375,0
22,0.09320068359375,0
23,0.09320068359375,0
24,0.09320068359375,0
25,0.09320068359375,0
26,0.09320068359375,0
27,0.09320068359375,0
28,0.09320068359375,0
29,0.09320068359375,0
30,0.09320068359375,0
31,0.09332275390625,0
32,0.09332275390625,0
33,0.09332275390625,0
34,0.09332275390625,0
35,0.09332275390625,0
36,0.09332275390625,0
37,0.09332275390625,0
38,0.09332275390625,0
39,0.09332275390625,0
40,0.09332275390625,0
41,0.09332275390625,0
42,0.09332275390625,0
43,0.09332275390625,0
44,0.09332275390625,0
45,0.09332275390625,0
46,0.09332275390625,0
47,0.09332275390625,0
48,0.09332275390625,0
49,0.09332275390625,0
50,0.09332275390625,0
