rank,score,label
1,0.01214599609375,0
2,0.0129241943359375,0
3,0.01337432861328125,0
4,0.01348114013671875,0
5,0.01374053955078125,0
6,0.0139007568359375,0
7,0.01395416259765625,0
8,0.0141754150390625,0
9,0.0143890380859375,0
10,0.01450347900390625,0
11,0.01490020751953125,0
12,0.01495361328125,0
13,0.0150146484375,0
14,0.01512908935546875,0
15,0.0154876708984375,0
16,0.01554107666015625,0
17,0.01560211181640625,0
18,0.0156707763671875,0
19,0.0156707763671875,0
20,0.015838623046875,0
21,0.015960693359375,0
22,0.015960693359375,0
23,0.016021728515625,0
24,0.0160980224609375,0
25,0.0162811279296875,0
26,0.0164031982421875,0
27,0.0165252685546875,0
28,0.0165863037109375,0
29,0.0165863037109375,0
30,0.0165863037109375,0
31,0.0167236328125,0
32,0.01678466796875,0
33,0.016845703125,0
34,0.0169219970703125,0
35,0.0171051025390625,0
36,0.0171051025390625,0
37,0.017181396484375,0
38,0.017181396484375,0
39,0.017303466796875,0
40,0.0173797607421875,0
41,0.01751708984375,0
42,0.017578125,0
43,0.017578125,0
44,0.0177154541015625,0
45,0.0177154541015625,0
46,0.0177764892578125,0
47,0.0177764892578125,0
48,0.0177764892578125,0
49,0.017852783203125,0
50,0.017852783203125,0
