rank,score,label
1,0.0142822265625,0
2,0.0164031982421875,0
3,0.0164031982421875,0
4,0.0167236328125,0
5,0.0169219970703125,0
6,0.017303466796875,0
7,0.0173797607421875,0
8,0.0174407958984375,0
9,0.01763916015625,0
10,0.0184783935546875,0
11,0.0185394287109375,0
12,0.0185394287109375,0
13,0.018585205078125,0
14,0.01861572265625,0
15,0.0187225341796875,0
16,0.018829345703125,0
17,0.018829345703125,0
18,0.019012451171875,0
19,0.01934814453125,0
20,0.019378662109375,0
21,0.01953125,0
22,0.0196075439453125,0
23,0.0196380615234375,0
24,0.0196380615234375,0
25,0.019683837890625,0
26,0.019866943359375,0
27,0.0199127197265625,0
28,0.019989013671875,0
29,0.020294189453125,0
30,0.0205230712890625,0
31,0.0207672119140625,0
32,0.020843505859375,0
33,0.020843505859375,0
34,0.020965576171875,0
35,0.0210113525390625,0
36,0.0210418701171875,0
37,0.021209716796875,0
38,0.0215301513671875,0
39,0.0217742919921875,0
40,0.021820068359375,0
41,0.0218658447265625,0
42,0.0220794677734375,0
43,0.0221099853515625,0
44,0.0224609375,0
45,0.0227203369140625,0
46,0.0227203369140625,0
47,0.0228424072265625,0
48,0.0229339599609375,0
49,0.022979736328125,0
50,0.022979736328125,0
