rank,score,label
1,0.97216796875,0
2,0.96826171875,0
3,0.96826171875,0
4,0.96826171875,0
5,0.9677734375,0
6,0.9677734375,0
7,0.96728515625,0
8,0.96728515625,0
9,0.966796875,0
10,0.9658203125,1
11,0.96435546875,0
12,0.96435546875,1
13,0.96435546875,0
14,0.96435546875,0
15,0.96435546875,1
16,0.9638671875,0
17,0.9638671875,0
18,0.96337890625,0
19,0.962890625,0
20,0.962890625,0
21,0.962890625,0
22,0.96240234375,1
23,0.96240234375,0
24,0.9619140625,0
25,0.9619140625,0
26,0.96142578125,0
27,0.96142578125,0
28,0.96142578125,0
29,0.9609375,0
30,0.96044921875,1
31,0.96044921875,0
32,0.96044921875,0
33,0.96044921875,0
34,0.9599609375,1
35,0.9599609375,0
36,0.95947265625,0
37,0.95947265625,0
38,0.95947265625,0
39,0.958984375,0
40,0.95849609375,0
41,0.9580078125,0
42,0.9580078125,0
43,0.9580078125,0
44,0.9580078125,0
45,0.9580078125,0
46,0.95751953125,0
47,0.95751953125,0
48,0.95751953125,0
49,0.95751953125,0
50,0.95703125,0
