rank,score,label
1,0.01666259765625,0
2,0.0179901123046875,1
3,0.02001953125,0
4,0.0205230712890625,1
5,0.0205230712890625,0
6,0.0211639404296875,0
7,0.0222930908203125,0
8,0.0222930908203125,0
9,0.0223236083984375,0
10,0.0223236083984375,0
11,0.023101806640625,0
12,0.0238189697265625,0
13,0.02386474609375,0
14,0.024139404296875,0
15,0.0241851806640625,0
16,0.0243377685546875,0
17,0.0244293212890625,0
18,0.0245208740234375,0
19,0.02532958984375,0
20,0.0257568359375,0
21,0.0258636474609375,0
22,0.0262603759765625,0
23,0.02630615234375,0
24,0.0264129638671875,0
25,0.026458740234375,0
26,0.026458740234375,0
27,0.0265045166015625,0
28,0.026763916015625,0
29,0.026763916015625,0
30,0.0268096923828125,0
31,0.0268096923828125,0
32,0.02685546875,0
33,0.02691650390625,0
34,0.0269622802734375,0
35,0.0269622802734375,0
36,0.027069091796875,0
37,0.0272674560546875,0
38,0.0273284912109375,0
39,0.0274810791015625,0
40,0.02752685546875,0
41,0.027587890625,0
42,0.0278472900390625,0
43,0.028106689453125,0
44,0.0282745361328125,0
45,0.0283355712890625,0
46,0.0285491943359375,0
47,0.0287628173828125,0
48,0.02880859375,0
49,0.0289306640625,0
50,0.0292510986328125,0
